# tren-crc even-bit detection sweep (raw experiment output)

Trials per cell: 10000
Seed: 0xCAFEF00D

| layout | k | error_class | n | detected | total | rate | wilson_low | wilson_high |
|--------|--:|-------------|--:|---------:|------:|-----:|-----------:|------------:|
| Crc32Only | 0 | even | 2 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | even | 4 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | even | 6 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | even | 8 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | even | 16 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | even | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | odd | 1 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | odd | 3 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | odd | 5 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | odd | 7 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| Crc32Only | 0 | burst | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | even | 2 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | even | 4 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | even | 6 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | even | 8 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | even | 16 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | even | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | odd | 1 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | odd | 3 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | odd | 5 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | odd | 7 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 1 | burst | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 2 | even | 2 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 2 | even | 4 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
